"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Fremont County, CO"	"08043"	12	47559	Unreliable
	"Jefferson County, CO"	"08059"	98	574613	17.1
	"Larimer County, CO"	"08069"	51	343976	14.8
	"Mesa County, CO"	"08077"	41	151616	27.0
	"Pueblo County, CO"	"08101"	55	166475	33.0
	"Weld County, CO"	"08123"	35	304633	11.5
	"Fairfield County, CT"	"09001"	177	949921	18.6
	"Hartford County, CT"	"09003"	325	895388	36.3
	"Litchfield County, CT"	"09005"	59	182177	32.4
	"Middlesex County, CT"	"09007"	49	163410	30.0
	"New Haven County, CT"	"09009"	303	860435	35.2
	"New London County, CT"	"09011"	93	269033	34.6
	"Tolland County, CT"	"09013"	51	151461	33.7
	"Windham County, CT"	"09015"	46	116359	39.5
	"Kent County, DE"	"10001"	41	176824	23.2
	"New Castle County, DE"	"10003"	235	559793	42.0
	"Sussex County, DE"	"10005"	66	225322	29.3
	"District of Columbia, DC"	"11001"	322	693972	46.4
	"Alachua County, FL"	"12001"	36	266944	13.5
	"Bay County, FL"	"12005"	38	183563	20.7
	"Brevard County, FL"	"12009"	255	589162	43.3
	"Broward County, FL"	"12011"	567	1935878	29.3
	"Charlotte County, FL"	"12015"	27	182033	14.8
	"Citrus County, FL"	"12017"	39	145647	26.8
	"Clay County, FL"	"12019"	60	212230	28.3
	"Collier County, FL"	"12021"	68	372880	18.2
	"Columbia County, FL"	"12023"	20	69612	28.7
	"Duval County, FL"	"12031"	452	937934	48.2
	"Escambia County, FL"	"12033"	58	313512	18.5
	"Flagler County, FL"	"12035"	22	110510	19.9
	"Hernando County, FL"	"12053"	42	186553	22.5
	"Highlands County, FL"	"12055"	20	102883	19.4
	"Hillsborough County, FL"	"12057"	247	1408566	17.5
	"Indian River County, FL"	"12061"	26	154383	16.8
	"Lake County, FL"	"12069"	89	346017	25.7
	"Lee County, FL"	"12071"	243	739224	32.9
	"Leon County, FL"	"12073"	29	290292	10.0
	"Levy County, FL"	"12075"	11	40355	Unreliable
	"Manatee County, FL"	"12081"	139	385571	36.1
	"Marion County, FL"	"12083"	137	354353	38.7
	"Martin County, FL"	"12085"	46	159923	28.8
	"Miami-Dade County, FL"	"12086"	339	2751796	12.3
	"Monroe County, FL"	"12087"	19	77013	Unreliable
	"Nassau County, FL"	"12089"	26	82721	31.4
	"Okaloosa County, FL"	"12091"	42	202970	20.7
	"Okeechobee County, FL"	"12093"	10	41605	Unreliable
	"Orange County, FL"	"12095"	240	1348975	17.8
	"Osceola County, FL"	"12097"	67	352180	19.0
	"Palm Beach County, FL"	"12099"	635	1471150	43.2
	"Pasco County, FL"	"12101"	166	525643	31.6
	"Pinellas County, FL"	"12103"	274	970637	28.2
	"Polk County, FL"	"12105"	147	686483	21.4
	"Putnam County, FL"	"12107"	22	73464	29.9
	"St. Johns County, FL"	"12109"	42	243812	17.2
	"St. Lucie County, FL"	"12111"	88	313506	28.1
	"Santa Rosa County, FL"	"12113"	32	174272	18.4
	"Sarasota County, FL"	"12115"	140	419119	33.4
	"Seminole County, FL"	"12117"	114	462659	24.6
	"Sumter County, FL"	"12119"	12	125165	Unreliable
	"Volusia County, FL"	"12127"	156	538692	29.0
	"Walton County, FL"	"12131"	11	68376	Unreliable
	"Barrow County, GA"	"13013"	18	79061	Unreliable
	"Bartow County, GA"	"13015"	27	105054	25.7
	"Bibb County, GA"	"13021"	21	152862	13.7
	"Carroll County, GA"	"13045"	34	117812	28.9
	"Catoosa County, GA"	"13047"	22	66550	33.1
	"Chatham County, GA"	"13051"	40	290501	13.8
	"Cherokee County, GA"	"13057"	39	247573	15.8
	"Clarke County, GA"	"13059"	16	127064	Unreliable
	"Clayton County, GA"	"13063"	37	285153	13.0
	"Cobb County, GA"	"13067"	151	755754	20.0
	"Coffee County, GA"	"13069"	11	43014	Unreliable
	"Columbia County, GA"	"13073"	28	151579	18.5
	"Coweta County, GA"	"13077"	24	143114	16.8
	"DeKalb County, GA"	"13089"	87	753253	11.5
	"Douglas County, GA"	"13097"	28	143882	19.5
	"Effingham County, GA"	"13103"	11	59982	Unreliable
	"Fayette County, GA"	"13113"	15	112549	Unreliable
	"Floyd County, GA"	"13115"	13	97613	Unreliable
	"Forsyth County, GA"	"13117"	32	227967	14.0
	"Fulton County, GA"	"13121"	173	1041423	16.6
	"Gilmer County, GA"	"13123"	10	30674	Unreliable
	"Glynn County, GA"	"13127"	17	85282	Unreliable
	"Gwinnett County, GA"	"13135"	97	920260	10.5
	"Hall County, GA"	"13139"	38	199335	19.1
	"Henry County, GA"	"13151"	28	225813	12.4
	"Houston County, GA"	"13153"	27	153479	17.6
	"Jackson County, GA"	"13157"	12	67519	Unreliable
	"Lumpkin County, GA"	"13187"	12	32873	Unreliable
	"Muscogee County, GA"	"13215"	25	194058	12.9
	"Newton County, GA"	"13217"	18	108078	Unreliable
	"Paulding County, GA"	"13223"	23	159445	14.4
	"Polk County, GA"	"13233"	11	42085	Unreliable
	"Richmond County, GA"	"13245"	58	201800	28.7
	"Rockdale County, GA"	"13247"	14	90312	Unreliable
	"Spalding County, GA"	"13255"	12	65380	Unreliable
	"Troup County, GA"	"13285"	11	69786	Unreliable
	"Walker County, GA"	"13295"	16	68939	Unreliable
	"Walton County, GA"	"13297"	14	91600	Unreliable
	"Whitfield County, GA"	"13313"	17	104658	Unreliable
	"Hawaii County, HI"	"15001"	28	200381	14.0
	"Honolulu County, HI"	"15003"	155	988650	15.7
	"Kauai County, HI"	"15007"	10	72159	Unreliable
	"Maui County, HI"	"15009"	28	166260	16.8
	"Ada County, ID"	"16001"	71	456849	15.5
	"Bannock County, ID"	"16005"	25	85269	29.3
	"Bonneville County, ID"	"16019"	24	114595	20.9
	"Canyon County, ID"	"16027"	21	216699	9.7
	"Kootenai County, ID"	"16055"	25	157637	15.9
	"Nez Perce County, ID"	"16069"	10	40385	Unreliable
	"Twin Falls County, ID"	"16083"	16	85124	Unreliable
	"Boone County, IL"	"17007"	13	53513	Unreliable
	"Champaign County, IL"	"17019"	35	209399	16.7
	"Cook County, IL"	"17031"	1250	5211263	24.0
	"DeKalb County, IL"	"17037"	20	104733	19.1
	"DuPage County, IL"	"17043"	149	930128	16.0
	"Franklin County, IL"	"17055"	17	39041	Unreliable
	"Jackson County, IL"	"17077"	11	58284	Unreliable
	"Jersey County, IL"	"17083"	15	21941	Unreliable
	"Kane County, IL"	"17089"	93	534667	17.4
	"Kankakee County, IL"	"17091"	34	109605	31.0
	"Kendall County, IL"	"17093"	17	126218	Unreliable
	"Lake County, IL"	"17097"	99	703520	14.1
	"LaSalle County, IL"	"17099"	36	110067	32.7
	"Livingston County, IL"	"17105"	10	36518	Unreliable
	"McHenry County, IL"	"17111"	84	309122	27.2
	"McLean County, IL"	"17113"	33	172290	19.2
	"Macon County, IL"	"17115"	19	105801	Unreliable
	"Madison County, IL"	"17119"	96	265428	36.2
	"Peoria County, IL"	"17143"	62	183011	33.9
	"Rock Island County, IL"	"17161"	24	144808	16.6
	"St. Clair County, IL"	"17163"	72	262479	27.4
	"Sangamon County, IL"	"17167"	52	196452	26.5
	"Tazewell County, IL"	"17179"	36	133526	27.0
	"Vermilion County, IL"	"17183"	25	77909	32.1
	"Will County, IL"	"17197"	154	692661	22.2
	"Williamson County, IL"	"17199"	14	67328	Unreliable
	"Winnebago County, IL"	"17201"	111	284778	39.0
	"Allen County, IN"	"18003"	94	372877	25.2
	"Bartholomew County, IN"	"18005"	35	82040	42.7
	"Boone County, IN"	"18011"	11	65875	Unreliable
	"Clark County, IN"	"18019"	54	116973	46.2
	"Dearborn County, IN"	"18029"	18	49741	Unreliable
	"Decatur County, IN"	"18031"	10	26737	Unreliable
	"Delaware County, IN"	"18035"	53	115184	46.0
	"Elkhart County, IN"	"18039"	38	205032	18.5
	"Fayette County, IN"	"18041"	21	23209	90.5
	"Floyd County, IN"	"18043"	31	77071	40.2
	"Grant County, IN"	"18053"	29	66491	43.6
	"Greene County, IN"	"18055"	10	32177	Unreliable
	"Hamilton County, IN"	"18057"	49	323747	15.1
	"Hancock County, IN"	"18059"	14	74985	Unreliable
	"Hendricks County, IN"	"18063"	35	163685	21.4
	"Henry County, IN"	"18065"	11	48476	Unreliable
	"Howard County, IN"	"18067"	40	82363	48.6
	"Jackson County, IN"	"18071"	18	43884	Unreliable
	"Jay County, IN"	"18075"	15	20945	Unreliable
	"Jennings County, IN"	"18079"	12	27626	Unreliable
	"Johnson County, IN"	"18081"	36	153897	23.4
	"Kosciusko County, IN"	"18085"	20	79206	25.3
	"Lake County, IN"	"18089"	177	485640	36.4
	"La Porte County, IN"	"18091"	32	110029	29.1
	"Madison County, IN"	"18095"	52	129498	40.2
	"Marion County, IN"	"18097"	374	950082	39.4
	"Marshall County, IN"	"18099"	11	46498	Unreliable
	"Monroe County, IN"	"18105"	29	146986	19.7
	"Montgomery County, IN"	"18107"	14	38525	Unreliable
	"Morgan County, IN"	"18109"	16	69713	Unreliable
	"Porter County, IN"	"18127"	46	168404	27.3
	"Randolph County, IN"	"18135"	17	24922	Unreliable
	"Ripley County, IN"	"18137"	11	28442	Unreliable
	"St. Joseph County, IN"	"18141"	75	270434	27.7
	"Scott County, IN"	"18143"	12	23870	Unreliable
	"Shelby County, IN"	"18145"	12	44395	Unreliable
	"Starke County, IN"	"18149"	14	22893	Unreliable
	"Tippecanoe County, IN"	"18157"	25	190587	13.1
	"Vanderburgh County, IN"	"18163"	69	181616	38.0
	"Vigo County, IN"	"18167"	19	107516	Unreliable
	"Wabash County, IN"	"18169"	14	31443	Unreliable
	"Washington County, IN"	"18175"	10	27827	Unreliable
	"Wayne County, IN"	"18177"	66	66185	99.7
	"Black Hawk County, IA"	"19013"	16	132648	Unreliable
	"Johnson County, IA"	"19103"	13	149210	Unreliable
	"Linn County, IA"	"19113"	35	224115	15.6
	"Polk County, IA"	"19153"	85	481830	17.6
	"Pottawattamie County, IA"	"19155"	11	93386	Unreliable
	"Scott County, IA"	"19163"	28	172509	16.2
	"Woodbury County, IA"	"19193"	10	102429	Unreliable
	"Butler County, KS"	"20015"	12	66878	Unreliable
	"Douglas County, KS"	"20045"	14	120793	Unreliable
	"Johnson County, KS"	"20091"	55	591178	9.3
	"Saline County, KS"	"20169"	18	54734	Unreliable
	"Sedgwick County, KS"	"20173"	91	513687	17.7
	"Shawnee County, KS"	"20177"	32	178187	18.0
	"Wyandotte County, KS"	"20209"	18	165288	Unreliable
	"Anderson County, KY"	"21005"	11	22544	Unreliable
	"Barren County, KY"	"21009"	12	43801	Unreliable
	"Boone County, KY"	"21015"	49	130728	37.5
	"Boyd County, KY"	"21019"	31	47979	64.6
	"Boyle County, KY"	"21021"	10	29924	Unreliable
	"Bullitt County, KY"	"21029"	37	80246	46.1
	"Campbell County, KY"	"21037"	72	92488	77.8
	"Carter County, KY"	"21043"	19	27144	Unreliable
	"Clark County, KY"	"21049"	22	36046	61.0
	"Daviess County, KY"	"21059"	14	100374	Unreliable
	"Estill County, KY"	"21065"	11	14277	Unreliable
	"Fayette County, KY"	"21067"	142	321959	44.1
	"Floyd County, KY"	"21071"	15	36271	Unreliable
	"Franklin County, KY"	"21073"	27	50485	53.5
	"Grant County, KY"	"21081"	11	24984	Unreliable
	"Grayson County, KY"	"21085"	11	26358	Unreliable
	"Greenup County, KY"	"21089"	16	35518	Unreliable
	"Hardin County, KY"	"21093"	23	108071	21.3
	"Harlan County, KY"	"21095"	13	26713	Unreliable
	"Harrison County, KY"	"21097"	11	18781	Unreliable
	"Hopkins County, KY"	"21107"	14	45547	Unreliable
	"Jefferson County, KY"	"21111"	377	771158	48.9
	"Jessamine County, KY"	"21113"	31	53375	58.1
	"Kenton County, KY"	"21117"	133	165399	80.4
	"Knox County, KY"	"21121"	14	31227	Unreliable
	"Laurel County, KY"	"21125"	15	60174	Unreliable
	"Madison County, KY"	"21151"	47	91226	51.5
	"Mason County, KY"	"21161"	11	17174	Unreliable
	"Montgomery County, KY"	"21173"	15	27928	Unreliable
	"Nelson County, KY"	"21179"	19	45640	Unreliable
	"Oldham County, KY"	"21185"	10	66415	Unreliable
	"Pendleton County, KY"	"21191"	10	14573	Unreliable
	"Pike County, KY"	"21195"	12	58883	Unreliable
	"Pulaski County, KY"	"21199"	17	64449	Unreliable
	"Scott County, KY"	"21209"	16	54873	Unreliable
	"Shelby County, KY"	"21211"	11	47421	Unreliable
	"Warren County, KY"	"21227"	16	128845	Unreliable
	"Whitley County, KY"	"21235"	16	36214	Unreliable
	"Ascension Parish, LA"	"22005"	28	122948	22.8
	"Bossier Parish, LA"	"22015"	14	127634	Unreliable
	"Caddo Parish, LA"	"22017"	36	246581	14.6
	"Calcasieu Parish, LA"	"22019"	28	202445	13.8
	"East Baton Rouge Parish, LA"	"22033"	90	446268	20.2
	"Jefferson Parish, LA"	"22051"	179	439036	40.8
	"Lafayette Parish, LA"	"22055"	47	242485	19.4
	"Lafourche Parish, LA"	"22057"	22	98426	22.4
	"Livingston Parish, LA"	"22063"	58	138228	42.0
	"Orleans Parish, LA"	"22071"	153	393292	38.9
	"Ouachita Parish, LA"	"22073"	24	155874	15.4
	"Rapides Parish, LA"	"22079"	30	131648	22.8
	"St. Bernard Parish, LA"	"22087"	18	46202	Unreliable
	"St. John the Baptist Parish, LA"	"22095"	14	43441	Unreliable
	"St. Landry Parish, LA"	"22097"	14	83497	Unreliable
	"St. Mary Parish, LA"	"22101"	15	50973	Unreliable
	"St. Tammany Parish, LA"	"22103"	84	256327	32.8
	"Tangipahoa Parish, LA"	"22105"	40	132497	30.2
	"Terrebonne Parish, LA"	"22109"	51	112086	45.5
	"Washington Parish, LA"	"22117"	31	46633	66.5
	"Androscoggin County, ME"	"23001"	25	107651	23.2
	"Cumberland County, ME"	"23005"	99	292500	33.8
	"Kennebec County, ME"	"23011"	60	121821	49.3
	"Knox County, ME"	"23013"	12	39790	Unreliable
	"Penobscot County, ME"	"23019"	63	151957	41.5
	"Somerset County, ME"	"23025"	21	50626	41.5
	"Waldo County, ME"	"23027"	10	39832	Unreliable
	"Washington County, ME"	"23029"	16	31593	Unreliable
	"York County, ME"	"23031"	93	204191	45.5
	"Allegany County, MD"	"24001"	39	71615	54.5
	"Anne Arundel County, MD"	"24003"	259	573235	45.2
	"Baltimore County, MD"	"24005"	430	832468	51.7
	"Calvert County, MD"	"24009"	39	91502	42.6
	"Caroline County, MD"	"24011"	15	33193	Unreliable
	"Carroll County, MD"	"24013"	61	167781	36.4
	"Cecil County, MD"	"24015"	74	102746	72.0
	"Charles County, MD"	"24017"	50	159700	31.3
	"Dorchester County, MD"	"24019"	14	32162	Unreliable
	"Frederick County, MD"	"24021"	85	252022	33.7
	"Garrett County, MD"	"24023"	11	29233	Unreliable
	"Harford County, MD"	"24025"	111	252160	44.0
	"Howard County, MD"	"24027"	64	321113	19.9
	"Montgomery County, MD"	"24031"	132	1058810	12.5
	"Prince George's County, MD"	"24033"	162	912756	17.7
	"Queen Anne's County, MD"	"24035"	12	49770	Unreliable
	"St. Mary's County, MD"	"24037"	41	112667	36.4
	"Talbot County, MD"	"24041"	11	37103	Unreliable
	"Washington County, MD"	"24043"	54	150578	35.9
	"Wicomico County, MD"	"24045"	34	102923	33.0
	"Worcester County, MD"	"24047"	18	51690	Unreliable
	"Baltimore city, MD"	"24510"	570	611648	93.2
	"Barnstable County, MA"	"25001"	86	213444	40.3
	"Berkshire County, MA"	"25003"	40	126313	31.7
	"Bristol County, MA"	"25005"	286	561483	50.9
	"Essex County, MA"	"25009"	346	785205	44.1
	"Franklin County, MA"	"25011"	14	70702	Unreliable
	"Hampden County, MA"	"25013"	130	469818	27.7
	"Hampshire County, MA"	"25015"	35	161834	21.6
	"Middlesex County, MA"	"25017"	401	1602947	25.0
	"Norfolk County, MA"	"25021"	181	700322	25.8
